label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2,area_um2,diameter_um
12,21384.0,1223.7079592218481,155.69346240179573,227.0845587766001,127.84011063945356,0.9698404664086903,626.2152954766495,129.0,119.0,112.0,106.38804713804714,98.78179947624392,94.4536101758324,39.0,40.0,40.0,371250.00000000006,687.5246766356312
13,28971.0,3186.115943529737,3418.260363812088,215.19880713141575,180.3544946669182,1.3030817935521826,683.4213562373095,140.0,241.0,248.0,63.146215180697936,68.39415277346312,65.24959442200822,0.0,1.0,2.0,502968.7500000001,800.2497749240633
14,19427.0,235.8978740927575,2253.9730272301435,201.7415495702917,128.50472994843344,-1.4534007716375836,580.1492782986674,125.0,116.0,107.0,59.65681783085397,56.25052761620425,53.931023832810006,34.0,33.0,34.0,337274.3055555556,655.3098376008281
15,58649.0,278.3679687633208,1545.6660301113404,298.58629588792826,273.4561038376312,-0.8774499470997245,1157.2935059634515,208.0,255.0,249.0,55.77800132994595,47.379955327456564,51.31911882555542,0.0,1.0,0.0,1018211.8055555557,1138.607718114331
16,8780.0,40.92927107061504,4430.274715261959,124.05529259365318,94.83953134596969,-1.1104738218646892,379.39696961966996,97.0,147.0,104.0,68.9379271070615,83.29236902050114,83.74009111617312,27.0,38.0,30.0,152430.5555555556,440.54581051155566
17,27574.0,482.3510190759411,3863.6046275476897,208.0711917717045,174.29214048608523,-1.2194103904288889,648.492424049175,96.0,103.0,102.0,62.80347428737216,61.54333792703271,59.36646841227243,32.0,31.0,32.0,478715.27777777787,780.7171205600303
18,6665.0,1692.939984996249,3786.5083270817704,119.89762357517736,75.02669690717516,-0.37268782438968556,331.09545442950497,88.0,108.0,110.0,36.610652663165794,39.1105776444111,40.12633158289572,30.0,30.0,31.0,115711.80555555558,383.8344000034901
19,13786.0,2190.1090961845352,59.47787610619469,150.7386667739732,126.77981322180291,1.2678634755330247,493.03657992645924,100.0,102.0,101.0,60.67648338894531,54.23726969389235,49.374873059625706,32.0,31.0,29.0,239340.2777777778,552.0303490883134
20,54404.0,1026.422211602088,391.71191456510553,302.6767312139071,235.30276503051857,-0.2906968766620735,932.9848480983501,209.0,247.0,242.0,122.97998308947871,109.92767075950297,105.14241599882362,1.0,7.0,4.0,944513.8888888891,1096.6277553869077
21,8267.0,3212.4459900810452,135.77210596346922,195.8695959840495,62.998172602095494,1.3867644072752443,503.3147545195113,94.0,243.0,105.0,45.04112737389622,61.250997943631305,42.56513850247974,3.0,31.0,3.0,143524.3055555556,427.481954547775
22,19556.0,3201.35728165269,2849.5136530987934,185.66106023837963,140.7845902884868,-1.180519397868099,567.8650070512055,105.0,242.0,114.0,71.21860298629576,70.71926774391491,54.03978318674576,3.0,36.0,3.0,339513.88888888893,657.481946003199
23,16041.0,220.45196683498534,1918.224237890406,267.62401226266655,81.47597218263832,-0.8334330807005218,645.3696244092002,107.0,101.0,110.0,60.88903434947946,58.07804999688299,55.154853188703946,29.0,29.0,29.0,278489.5833333334,595.4695208798
24,35876.0,1198.1293343739546,4255.6798138031,257.2833345804111,187.39322124153958,-1.4064276171723864,802.541197284454,208.0,119.0,248.0,60.148846025197905,58.509923068346524,60.1005686252648,1.0,1.0,33.0,622847.2222222224,890.5244037429761
25,14469.0,3049.8205128205127,47.911120326214665,173.54985323998164,118.84662203461517,-0.3274419119174846,515.3624817342637,126.0,115.0,105.0,73.04602944225586,66.08010228764945,60.97035040431267,35.0,32.0,34.0,251197.91666666672,565.5396723971609
26,22541.0,2492.2869437913137,1033.8456590213389,189.51151232045527,153.6372169773916,-1.1290701471950801,619.1025971044414,209.0,162.0,111.0,65.98589237389646,62.520074530854885,60.314804134687904,27.0,34.0,28.0,391336.8055555556,705.8792362321394
27,16584.0,2409.210564399421,3146.518753014954,158.1742373833571,138.83081751887445,0.5303079290015239,514.2325394193526,122.0,114.0,112.0,72.32977568740955,65.64357211770381,59.4318017366136,37.0,35.0,31.0,287916.66666666674,605.4641901783559
28,7579.0,1582.4286845230242,3766.907771473809,126.59643439663559,78.64622540091564,0.4492670108842317,351.095454429505,88.0,112.0,114.0,41.97136825438712,45.97770154373928,46.99590975062673,30.0,30.0,31.0,131579.86111111112,409.3075646227749
29,101725.0,1416.8398918653231,377.6463602850823,460.7742327555669,311.71786648170496,-0.8384521912257332,1616.035713374682,208.0,254.0,239.0,38.49476529859916,34.99990169574834,36.385745883509465,0.0,2.0,0.0,1766059.027777778,1499.5386598895016
